Date,    	    ref_temp(K),   mean(v2),   mean(h2),     std(v2),   std(h2),    data_length
2015-Oct-05 14:21:14,    10,       2341245     2548245,     23039,      24992,       1890904
2015-Oct-05 14:21:14,    291.16,   3440411,    3633832,     33777,      35625,       1733111 
2015-Oct-14 20:54:39,    297.3,    3572400,    3778167,     35085,      37139,       192729
2015-Oct-30 12:10:59,   275.2,    3452744,    3679125,      34501,      36589,     173558
2015-Oct-30 14:17:51,   274.7,    3463660,    3691534,      34088,      36149,     192691
2015-Oct-30 17:41:11,   278.7,    3527378,    3720261,      35901,      37471,     267293
2015-Oct-30 19:27:16,   281.2,    3506909,    3671527,      34403,      36113,     217953
2015-Oct-30 19:29:02,   280.4,    3506909,    3671527,      34403,      36113,     217953
2015-Nov-06 17:56:46,   277.7,    3560379,    3601135,      37795,      37119,     197504
2015-Nov-06 18:02:29,   277.7,    3550018,    3599138,      37004,      37381,     212311
2015-Nov-06 20:12:28,   277.0,    3503804,    3656075,      42220,      36222,     249998
2015-Nov-06 20:19:26,   277.0,    3489593,    3657578,      50740,      36631,     118079
2015-Nov-07 12:22:26,   271.9,    3519544,    3548222,      36221,      48898,     202313
2015-Nov-07 12:29:49,   272.0,    3503023,    3526180,      35155,      37367,     193223
2015-Nov-07 14:23:51,   271.1,    3502452,    3645326,      34750,      35795,     150034
2015-Nov-07 17:54:17,   275.9,    3595416,    3652961,      37214,      41963,     204687
2015-Nov-07 18:00:58,   276.3,    3579510,    3634701,      36771,      37118,     239005
2015-Nov-07 20:04:58,   277.0,    3515072,    3625320,      34470,      35511,     365698
2015-Nov-07 20:06:37,   277.1,    3514585,    3625148,      34510,      35559,     338385
2015-Nov-08 16:40:30,   279.2,    3548573,    3623003,      38077,      44720,     388285
2015-Nov-08 22:00:06,   283.2,    3538232,    3682450,      34793,      36061,     314203
2015-Nov-08 22:03:27,   283.3,    3538748,    3682936,      34774,      36087,     239724
2015-Nov-09 17:53:10,   280.7,    3603352,    3622969,      37921,      38699,     211176
2015-Nov-09 17:58:00,   280.7,    3586534,    3621617,      39305,      41033,     369626
2015-Nov-09 20:04:55,   283.7,    3555887,    3740001,      34919,      36901,     312077
2015-Nov-12 12:10:34,   272.3,    3489556,    3549517,      34623,      49165,     221997
2015-Nov-12 12:18:58,   272.3,    3479225,    3595317,      34232,      35864,     258238
2015-Nov-12 13:54:17,   272.2,    3485336,    3687277,      34199,      36124,     293606
2015-Nov-12 13:54:39,   272.1,    3485264,    3687169,      34224,      36127,     278999
2015-Nov-13 17:04:30,   274.9,    3522968,    3754767,      34616,      36755,     398921
2015-Nov-13 17:47:19,   275.3,    3525480,    3742257,      34624,      36582,     384567
2015-Nov-13 17:56:57,   275.4,    3522215,    3741325,      34450,      36571,     216672
2015-Nov-13 19:59:40,   276.9,    3531540,    3734091,      34616,      36546,     350622
2015-Nov-13 20:04:48,   276.6,    3531772,    3734391,      34708,      36536,     212747
