10/31/2015 20:01, 	  5.360,      98.138,	    5.308,	98.111
10/31/2015 20:11, 	  5.334,      98.125,	    5.308,	98.111
10/31/2015 20:21, 	  5.334,      98.125,	    5.308,	98.111
10/31/2015 20:31, 	  5.360,      98.138,	    5.334,	98.125
10/31/2015 20:41, 	  5.360,      98.138,	    5.334,	98.125
10/31/2015 20:51, 	  5.385,      98.151,	    5.334,	98.125
10/31/2015 21:01, 	  5.360,      98.138,	    5.334,	98.125
10/31/2015 21:11, 	  5.360,      98.138,	    5.334,	98.125
10/31/2015 21:21, 	  5.334,      98.125,	    5.334,	98.125
10/31/2015 21:31, 	  5.334,      98.125,	    5.282,	98.097
10/31/2015 21:41, 	  5.282,      98.097,	    5.257,	98.084
10/31/2015 21:51, 	  5.282,      98.097,	    5.257,	98.084
10/31/2015 22:01, 	  5.257,      98.084,	    5.231,	98.070
10/31/2015 22:11, 	  5.231,      98.070,	    5.205,	98.056
10/31/2015 22:21, 	  5.231,      98.070,	    5.205,	98.056
10/31/2015 22:31, 	  5.231,      98.070,	    5.205,	98.056
10/31/2015 22:41, 	  5.231,      98.070,	    5.205,	98.056
10/31/2015 22:51, 	  5.257,      98.084,	    5.231,	98.070
10/31/2015 23:01, 	  5.257,      98.084,	    5.231,	98.070
10/31/2015 23:11, 	  5.257,      98.084,	    5.231,	98.070
10/31/2015 23:21, 	  5.257,      98.084,	    5.231,	98.070
10/31/2015 23:31, 	  5.282,      98.097,	    5.257,	98.084
10/31/2015 23:41, 	  5.282,      98.097,	    5.257,	98.084
10/31/2015 23:51, 	  5.282,      98.097,	    5.257,	98.084
11/1/2015 0:01, 	5.282,	    98.097,	  5.231,      98.070
11/1/2015 0:11, 	5.257,	    98.084,	  5.231,      98.070
11/1/2015 0:21, 	5.282,	    98.097,	  5.257,      98.084
11/1/2015 0:31, 	5.282,	    98.097,	  5.257,      98.084
11/1/2015 0:41, 	5.308,	    98.111,	  5.282,      98.097
11/1/2015 0:51, 	5.334,	    98.125,	  5.308,      98.111
11/1/2015 1:01, 	5.385,	    98.151,	  5.360,      98.138
11/1/2015 1:11, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 1:21, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 1:31, 	5.411,	    98.165,	  5.385,      98.151
11/1/2015 1:41, 	5.411,	    98.165,	  5.411,      98.165
11/1/2015 1:51, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 2:01, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 2:11, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 2:21, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 2:31, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 2:41, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 2:51, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 3:01, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 3:11, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 3:21, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 3:31, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 3:41, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 3:51, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 4:01, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 4:11, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 4:21, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 4:31, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 4:41, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 4:51, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 5:01, 	5.437,	    98.179,	  5.411,      98.165
11/1/2015 5:11, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 5:21, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 5:31, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 5:41, 	5.437,	    98.179,	  5.437,      98.179
11/1/2015 5:51, 	5.462,	    98.192,	  5.437,      98.179
11/1/2015 6:01, 	5.462,	    98.192,	  5.462,      98.192
11/1/2015 6:11, 	5.488,	    98.206,	  5.488,      98.206
11/1/2015 6:21, 	5.488,	    98.206,	  5.488,      98.206
11/1/2015 6:31, 	5.488,	    98.206,	  5.488,      98.206
11/1/2015 6:41, 	5.514,	    98.220,	  5.514,      98.220
11/1/2015 6:51, 	5.539,	    98.233,	  5.514,      98.220
11/1/2015 7:01, 	5.514,	    98.220,	  5.514,      98.220
11/1/2015 7:11, 	5.514,	    98.220,	  5.488,      98.206
11/1/2015 7:21, 	5.514,	    98.220,	  5.488,      98.206
11/1/2015 7:31, 	5.514,	    98.220,	  5.488,      98.206
11/1/2015 7:41, 	5.514,	    98.220,	  5.488,      98.206
11/1/2015 7:51, 	5.488,	    98.206,	  5.488,      98.206
11/1/2015 8:01, 	5.488,	    98.206,	  5.488,      98.206
11/1/2015 8:11, 	5.488,	    98.206,	  5.488,      98.206
11/1/2015 8:21, 	5.488,	    98.206,	  5.488,      98.206
11/1/2015 8:31, 	5.488,	    98.206,	  5.488,      98.206
11/1/2015 8:41, 	5.514,	    98.220,	  5.488,      98.206
11/1/2015 8:51, 	5.514,	    98.220,	  5.488,      98.206
11/1/2015 9:01, 	5.514,	    98.220,	  5.488,      98.206
11/1/2015 9:11, 	5.514,	    98.220,	  5.488,      98.206
11/1/2015 9:21, 	5.514,	    98.220,	  5.488,      98.206
11/1/2015 9:31, 	5.514,	    98.220,	  5.488,      98.206
11/1/2015 9:41, 	5.488,	    98.206,	  5.488,      98.206
11/1/2015 9:51, 	5.514,	    98.220,	  5.488,      98.206
11/1/2015 10:01, 	 5.514,	     98.220,	   5.488,      98.206
11/1/2015 10:11, 	 5.488,	     98.206,	   5.488,      98.206
11/1/2015 10:21, 	 5.488,	     98.206,	   5.488,      98.206
