Date, temp_c 
2015-Oct-14 20:54:39,  24.1
2015-Oct-30 12:10:59,  2
2015-Oct-30 14:17:51,  1.5 
2015-Oct-30 17:32:52,  6.5 
2015-Oct-30 17:41:11,  5.5
2015-Oct-30 19:27:16,  8 
2015-Oct-30 19:29:02,  7.25
2015-Nov-06 11:48:23,  9.5
2015-Nov-06 17:56:46,  4.5
2015-Nov-06 18:02:29,  4.5
2015-Nov-06 20:12:28,  3.8
2015-Nov-06 20:19:26,  3.8
2015-Nov-07 12:22:26,  -1.3
2015-Nov-07 12:29:49,  -1.2
2015-Nov-07 14:23:51,  -2.1
2015-Nov-07 14:28:31,  -1.65
2015-Nov-07 17:54:17,  2.75
2015-Nov-07 18:00:58,  3.1
2015-Nov-07 20:04:58,  3.8
2015-Nov-07 20:06:37,  3.95
2015-Nov-08 16:33:10,  6
2015-Nov-08 16:40:30,  6
2015-Nov-08 22:00:06,  10
2015-Nov-08 22:03:27,  10.1
2015-Nov-09 17:53:10,  7.5
2015-Nov-09 17:58:00,  7.5
2015-Nov-09 20:04:55,  10.5
2015-Nov-12 12:10:34,  -0.85
2015-Nov-12 12:18:58,  -0.85
2015-Nov-12 13:54:17,  -1
2015-Nov-12 13:54:39,  -1.1
2015-Nov-13 17:04:30,  1.75
2015-Nov-13 17:47:19,  2.1
2015-Nov-13 17:56:57,  2.25
2015-Nov-13 19:59:40,  3.7
2015-Nov-13 20:04:48,  3.4
